store_id;hub_id;store_name;store_segment;store_plan_price;store_latitude;store_longitude
4161;26;ZIPU ;GOOD;29;-23.563.758;-46.652.621
4164;26;IMUAS ;GOOD;29;-23.563.758;-46.652.621
4165;26;IMICIPRA ;GOOD;29;-23.563.758;-46.652.621
4167;26;STRAMZ ;GOOD;29;-23.563.758;-46.652.621
4170;26;ZIAGIA ;GOOD;29;-23.563.758;-46.652.621
4171;26;MRICA E FAULE ;GOOD;29.9;-23.563.758;-46.652.621
4181;26;ZIVIAIMIS ;GOOD;29;-23.563.758;-46.652.621
4184;26;LUPI ;GOOD;29;-23.563.758;-46.652.621
4195;26;IRUZZI ;GOOD;29;-23.563.758;-46.652.621
4199;26;I PIMACIRAI ;GOOD;29;-23.563.758;-46.652.621
4200;8;OIGIPUARRO ;FOOD;49;-22.921.475;-43.234.822
4201;85;ZIVIMUI ;GOOD;49;-235.133.533;-466.184.904
4202;26;RAZIPAO ;GOOD;29;-23.563.758;-46.652.621
4203;22;IRULAU CRUPURAU ;FOOD;49;-23.001.696;-43.386.494
4204;22;SIZI FOIE ERAMGS ;FOOD;49;-23.001.696;-43.386.494
4206;85;USPUMI RIMAI ;FOOD;49;-235.133.533;-466.184.904
4207;16;ARE PIMUAUR ;FOOD;49;-23.020.709;-434.897
4208;26;MAP MIP ;GOOD;29;-23.563.758;-46.652.621
4210;33;RCOUMILES ;FOOD;;-23.579.067;-46.594.006
4211;29;RCOUMILES ;FOOD;;-23.561.053;-46.558.976
4213;17;RCOUMILES ;FOOD;;-23.599.551;-46.636.755
4214;44;RCOUMILES ;FOOD;;-254.351.398;-493.167.883
4243;85;IMO IMO ;GOOD;29;-235.133.533;-466.184.904
4245;33;ZAMZIMU ;GOOD;29;-23.579.067;-46.594.006
4255;85;URPIRAI VAGMIRIZZA ;GOOD;49;-235.133.533;-466.184.904
4262;85;CIPIOURMU ;GOOD;29;-235.133.533;-466.184.904
4264;85;SALITO ;GOOD;29.9;-235.133.533;-466.184.904
4266;75;SALITO ;GOOD;29.9;-25.477.073;-4.928.966
4271;17;RAMA GILZIMU ;FOOD;49;-23.599.551;-46.636.755
4272;75;ILACU SILIZIR ;GOOD;29;-25.477.073;-4.928.966
4292;75;P PAZZI ;FOOD;49;-25.477.073;-4.928.966
4296;85;MZU PIEO SZIP ;GOOD;29;-235.133.533;-466.184.904
4299;21;ZISARIS ;GOOD;29.9;-23.550.407;-46.721.291
4300;33;SIM RIRZIMI ;FOOD;49.9;-23.579.067;-46.594.006
4302;42;IMIA VAMOI RISI ;FOOD;49;-25.438.766;-49.266.532
4305;20;RCOUMILES ;FOOD;0;-22.996.848;-43.361.197
4314;25;RCOUMILES ;FOOD;;-23.570.765;-46.642.043
4315;27;RCOUMILES ;FOOD;0;-23.622.995;-46.699.204
4316;43;RCOUMILES ;FOOD;0;-254.412.212;-4.927.769
4317;85;PIRPALA ;GOOD;29;-235.133.533;-466.184.904
4320;21;CAI RIRAMARI ;GOOD;29;-23.550.407;-46.721.291
4328;27;LUPI ;GOOD;29;-23.622.995;-46.699.204
4329;55;MUSPUO SMIRU ;GOOD;1;-235.217.758;-466.241.516
4334;44;SILSI GRALA;FOOD;;-254.351.398;-493.167.883
4335;20;PASCIAMU ;FOOD;49;-22.996.848;-43.361.197
4336;26;MAR ;GOOD;29;-23.563.758;-46.652.621
4344;31;CIRACIOU ;GOOD;1;-23.631.835;-46.735.203
4347;36;CIRACIOU ;GOOD;1;-30.085.743;-51.245.997
4348;28;CIRACIOU ;GOOD;1;-23.595.775;-46.685.984
4352;35;CIRACIOU ;GOOD;1;-2.297.315;-43.370.811
4354;33;RUA DA RIMU ;FOOD;49.9;-23.579.067;-46.594.006
4355;13;CIRACIOU ;GOOD;1;-22.887.521;-43.283.366
4373;86;MICI PULA;FOOD;49;-2.354.150.197;-4.657.671.799
4386;28;SALITO ;GOOD;29.9;-23.595.775;-46.685.984
4388;29;RIOPULLAMU ;GOOD;29.9;-23.561.053;-46.558.976
4389;85;RUMAR ;GOOD;1;-235.133.533;-466.184.904
4396;85;LAZ ;GOOD;29;-235.133.533;-466.184.904
4398;37;ILACU SILIZIR ;GOOD;29;-23.507.105;-46.718.197
4402;51;PIMUCI DA RIMILI ;FOOD;49;-22.927.336;-43.572.533
4403;13;GIPUMZIGUM QSQ  ;GOOD;29;-22.887.521;-43.283.366
4434;35;GIPUMZIGUM ;GOOD;49;-2.297.315;-43.370.811
4439;75;IMI MURUZI ;GOOD;49;-25.477.073;-4.928.966
4440;75;CICIU SZIS ;GOOD;49;-25.477.073;-4.928.966
4441;35;RIRASIA;GOOD;29;-2.297.315;-43.370.811
4442;35;CIMSMIMCU ;GOOD;29;-2.297.315;-43.370.811
4443;75;GIPUMZIGUM ;GOOD;49;-25.477.073;-4.928.966
4447;35;LU PISMATRA ;GOOD;;-2.297.315;-43.370.811
4448;35;ZIPU ;GOOD;29;-2.297.315;-43.370.811
4449;35;CUMOIARAS ;GOOD;29;-2.297.315;-43.370.811
4451;13;CZALLA PUIMS ;GOOD;49.9;-22.887.521;-43.283.366
4452;43;GIPUMZIGUM ;GOOD;49;-254.412.212;-4.927.769
4453;42;GIPUMZIGUM ;GOOD;49;-25.438.766;-49.266.532
4459;13;GAESMIG ;GOOD;29;-22.887.521;-43.283.366
4462;37;RIRIMI ;GOOD;29;-23.507.105;-46.531.521
4467;37;MAP MIP ;GOOD;29.9;-23.507.105;-46.718.197
4483;85;SIGO ;GOOD;29;-235.133.533;-466.184.904
4484;35;VAI RAI ;GOOD;29;-2.297.315;-43.370.811
4488;36;RIARI RAI ;FOOD;49;-30.085.743;-51.245.997
4489;29;LALACI E MAGIR ;GOOD;;-23.561.053;-46.558.976
4491;13;MIRMU SZIPUAMG ;GOOD;;-228.874.999;-432.848.835
4498;85;ARIGAMIRAUR ;GOOD;49;-235.133.533;-466.184.904
4510;33;OIGPUARO ;FOOD;;-23.579.067;-46.594.006
4512;20;CIRIROI U CAI ;FOOD;49.9;-22.996.848;-43.361.197
4524;35;RALIM ;GOOD;29;-2.297.315;-43.370.811
4531;37;IRMURAZI SIAIS ;GOOD;49;-23.507.105;-46.718.197
4553;85;CIARUM SMUOLUMS ;GOOD;;-235.133.533;-466.184.904
4556;37;RIMAI EU TRAPRISCI ;FOOD;49;-23.507.105;-46.718.197
4558;86;MIAF ;GOOD;49;-2.354.150.197;-4.657.671.799
4559;85;MIAF ;GOOD;49;-235.133.533;-466.184.904
4564;25;ZIVIMUI ;GOOD;49;-23.570.765;-46.642.043
4567;85;PUGUM ;GOOD;49;-235.133.533;-466.184.904
4568;85;SAEUSILG ;GOOD;49;-235.133.533;-466.184.904
4572;85;RIRO RIUGU ;GOOD;49;-235.133.533;-466.184.904
4585;85;IRUZZI ;GOOD;49;-235.133.533;-466.184.904
4587;85;PIPUARIGAI ;GOOD;49;-235.133.533;-466.184.904
4596;44;LUAZI PIRCULIS ;GOOD;29;-254.351.398;-493.167.883
4605;85;USPIMI PRIMI ;GOOD;49;-235.133.533;-466.184.904
4611;36;SUSZAIGA ;FOOD;49;-30.085.743;-51.245.997
4624;27;RUMAR ;GOOD;0;-23.622.995;-46.699.204
4625;8;RUMAR ;GOOD;0;-22.921.475;-43.234.822
4637;16;AR TRAMUO ;FOOD;;-23.020.709;-434.897
4645;44;AIEMAMIMU UM PRIVUMCU ;GOOD;29.9;-254.351.398;-493.167.883
4648;86;ILAPIARUGAIMI ;FOOD;49.9;-2.354.150.197;-4.657.671.799
4650;25;CICI PIRPU ;FOOD;0;-23.570.765;-46.642.043
4660;85;CIRUMOI ;GOOD;49.9;-235.133.533;-466.184.904
4664;29;CIRUMOI ;GOOD;49;-23.561.053;-46.558.976
4669;21;CIRUMOI ;GOOD;29;-23.550.407;-46.721.291
4671;25;CIRUMOI ;GOOD;49.9;-23.570.765;-46.642.043
4675;13;SIMUI LIMOI ;GOOD;29;-22.887.521;-43.283.366
4676;75;PAMACIS ;GOOD;49.9;-25.477.073;-4.928.966
4679;85;PIGUE PIPACO ;FOOD;49.9;-235.133.533;-466.184.904
